xflr5 v6.61

Plane name :, StraightWing
Polar name :, T1-30.0 m/s-VLM2
Freestream speed :, 30.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -14.000,     0.000,  -0.853157,   0.022931,   0.327454,   0.350384,   0.000000,  -0.000000,   0.118118,  -0.000000,  -0.000000,   30.0000,    0.0245
  -13.000,     0.000,  -0.770096,   0.018703,   0.289598,   0.308301,   0.000000,  -0.000000,   0.095198,  -0.000000,  -0.000000,   30.0000,    0.0217
  -12.000,     0.000,  -0.686556,   0.014876,   0.235720,   0.250596,   0.000000,  -0.000000,   0.071488,  -0.000000,   0.000000,   30.0000,    0.0183
  -11.000,     0.000,  -0.602584,   0.011463,   0.132837,   0.144300,   0.000000,   0.000000,   0.045647,  -0.000000,  -0.000000,   30.0000,    0.0138
  -10.000,     0.000,  -0.518227,   0.008476,   0.108710,   0.117187,   0.000000,  -0.000000,   0.023880,  -0.000000,   0.000000,   30.0000,    0.0079
   -9.000,     0.000,  -0.433534,   0.005927,   0.066483,   0.072410,   0.000000,   0.000000,   0.001409,  -0.000000,   0.000000,   30.0000,   -0.0002
   -8.000,     0.000,  -0.348554,   0.003823,   0.020065,   0.023888,   0.000000,   0.000000,  -0.021020,  -0.000000,  -0.000000,   30.0000,   -0.0124
   -7.000,     0.000,  -0.263337,   0.002175,   0.016989,   0.019163,   0.000000,   0.000000,  -0.041879,   0.000000,  -0.000000,   30.0000,   -0.0323
   -6.000,     0.000,  -0.177933,   0.000987,   0.014802,   0.015789,   0.000000,   0.000000,  -0.062814,   0.000000,   0.000000,   30.0000,   -0.0715
   -5.000,     0.000,  -0.092391,   0.000267,   0.013201,   0.013467,   0.000000,   0.000000,  -0.083818,   0.000000,  -0.000000,   30.0000,   -0.1832
   -4.000,     0.000,  -0.006763,   0.000017,   0.012025,   0.012042,   0.000000,   0.000000,  -0.104875,   0.000000,   0.000000,   30.0000,   -3.1239
   -3.000,     0.000,   0.078900,   0.000240,   0.010942,   0.011182,  -0.000000,   0.000000,  -0.125971,   0.000000,   0.000000,   30.0000,    0.3209
   -2.000,     0.000,   0.164549,   0.000937,   0.010187,   0.011124,  -0.000000,   0.000000,  -0.147078,   0.000000,   0.000000,   30.0000,    0.1793
   -1.000,     0.000,   0.250131,   0.002108,   0.009587,   0.011695,   0.000000,   0.000000,  -0.168176,   0.000000,   0.000000,   30.0000,    0.1347
    0.000,     0.000,   0.335596,   0.003751,   0.009003,   0.012753,   0.000000,   0.000000,  -0.189241,   0.000000,  -0.000000,   30.0000,    0.1128
    1.000,     0.000,   0.420893,   0.005862,   0.008116,   0.013978,   0.000000,   0.000000,  -0.210247,   0.000000,   0.000000,   30.0000,    0.0998
    2.000,     0.000,   0.505972,   0.008438,   0.007873,   0.016311,   0.000000,   0.000000,  -0.231172,   0.000000,   0.000000,   30.0000,    0.0912
    3.000,     0.000,   0.590783,   0.011471,   0.008115,   0.019585,   0.000000,   0.000000,  -0.251997,  -0.000000,  -0.000000,   30.0000,    0.0851
    4.000,     0.000,   0.675275,   0.014954,   0.008503,   0.023456,   0.000000,   0.000000,  -0.272697,  -0.000000,   0.000000,   30.0000,    0.0805
    5.000,     0.000,   0.759400,   0.018878,   0.008960,   0.027838,   0.000000,   0.000000,  -0.293248,  -0.000000,   0.000000,   30.0000,    0.0770
    6.000,     0.000,   0.843109,   0.023234,   0.009451,   0.032685,   0.000000,   0.000000,  -0.313624,  -0.000000,   0.000000,   30.0000,    0.0742
    7.000,     0.000,   0.926353,   0.028009,   0.009994,   0.038003,   0.000000,   0.000000,  -0.333801,  -0.000000,  -0.000000,   30.0000,    0.0719
    8.000,     0.000,   1.009086,   0.033191,   0.010567,   0.043757,   0.000000,   0.000000,  -0.353755,  -0.000000,   0.000000,   30.0000,    0.0700
    9.000,     0.000,   1.091261,   0.038764,   0.011221,   0.049985,   0.000000,   0.000000,  -0.373464,  -0.000000,  -0.000000,   30.0000,    0.0684
   10.000,     0.000,   1.172831,   0.044715,   0.012169,   0.056884,   0.000000,   0.000000,  -0.392914,  -0.000000,  -0.000000,   30.0000,    0.0671
   11.000,     0.000,   1.253753,   0.051027,   0.015565,   0.066592,   0.000000,   0.000000,  -0.412188,  -0.000000,   0.000000,   30.0000,    0.0659


