xflr5 v6.61

Plane name :, TaperWing
Polar name :, T1-15.0 m/s-VLM2
Freestream speed :, 15.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -8.000,     0.000,  -0.357413,   0.003463,   0.032179,   0.035643,   0.000000,   0.000000,   0.082600,   0.000000,  -0.000000,   15.0000,    0.0458
   -7.000,     0.000,  -0.270110,   0.001976,   0.026153,   0.028129,   0.000000,   0.000000,   0.039307,   0.000000,  -0.000000,   15.0000,    0.0282
   -6.000,     0.000,  -0.182633,   0.000902,   0.022581,   0.023483,   0.000000,   0.000000,  -0.003995,   0.000000,  -0.000000,   15.0000,   -0.0062
   -5.000,     0.000,  -0.095031,   0.000245,   0.020498,   0.020743,   0.000000,   0.000000,  -0.047446,   0.000000,  -0.000000,   15.0000,   -0.1041
   -4.000,     0.000,  -0.007354,   0.000008,   0.018472,   0.018480,   0.000000,   0.000000,  -0.091117,   0.000000,  -0.000000,   15.0000,   -2.5350
   -3.000,     0.000,   0.080351,   0.000195,   0.016757,   0.016951,   0.000000,  -0.000000,  -0.134963,   0.000000,   0.000000,   15.0000,    0.3408
   -2.000,     0.000,   0.168035,   0.000805,   0.015393,   0.016197,  -0.000000,  -0.000000,  -0.178947,   0.000000,   0.000000,   15.0000,    0.2150
   -1.000,     0.000,   0.255648,   0.001837,   0.014004,   0.015841,  -0.000000,  -0.000000,  -0.223034,   0.000000,   0.000000,   15.0000,    0.1754
    0.000,     0.000,   0.343142,   0.003291,   0.012189,   0.015480,  -0.000000,  -0.000000,  -0.267189,  -0.000000,   0.000000,   15.0000,    0.1561
    1.000,     0.000,   0.430467,   0.005162,   0.011268,   0.016430,  -0.000000,  -0.000000,  -0.311274,   0.000000,   0.000000,   15.0000,    0.1446
    2.000,     0.000,   0.517577,   0.007446,   0.011274,   0.018720,  -0.000000,  -0.000000,  -0.355297,   0.000000,   0.000000,   15.0000,    0.1370
    3.000,     0.000,   0.604422,   0.010138,   0.011577,   0.021715,  -0.000000,  -0.000000,  -0.399225,   0.000000,   0.000000,   15.0000,    0.1317
    4.000,     0.000,   0.690955,   0.013230,   0.012033,   0.025263,  -0.000000,  -0.000000,  -0.443011,   0.000000,   0.000000,   15.0000,    0.1277
    5.000,     0.000,   0.777128,   0.016715,   0.012658,   0.029373,  -0.000000,  -0.000000,  -0.486605,   0.000000,   0.000000,   15.0000,    0.1246
    6.000,     0.000,   0.862896,   0.020582,   0.013367,   0.033949,  -0.000000,  -0.000000,  -0.529959,   0.000000,   0.000000,   15.0000,    0.1221
    7.000,     0.000,   0.948210,   0.024822,   0.014148,   0.038970,  -0.000000,  -0.000000,  -0.573023,   0.000000,   0.000000,   15.0000,    0.1202
    8.000,     0.000,   1.033027,   0.029422,   0.014969,   0.044391,  -0.000000,  -0.000000,  -0.615746,   0.000000,   0.000000,   15.0000,    0.1185
    9.000,     0.000,   1.117301,   0.034370,   0.015783,   0.050153,  -0.000000,  -0.000000,  -0.658076,   0.000000,   0.000000,   15.0000,    0.1172
   10.000,     0.000,   1.200988,   0.039652,   0.016573,   0.056225,  -0.000000,  -0.000000,  -0.699960,   0.000000,  -0.000000,   15.0000,    0.1160
   11.000,     0.000,   1.284045,   0.045253,   0.017594,   0.062847,  -0.000000,  -0.000000,  -0.741359,   0.000000,  -0.000000,   15.0000,    0.1151


